prediction_time,feature_available_at,target_available_at,factor,return
2026-01-01T15:00:00Z,2026-01-01T14:59:00Z,2026-01-03T15:00:00Z,1.0,2.9
2026-01-02T15:00:00Z,2026-01-02T14:59:00Z,2026-01-04T15:00:00Z,2.0,5.2
2026-01-03T15:00:00Z,2026-01-03T14:59:00Z,2026-01-05T15:00:00Z,3.0,6.8
2026-01-04T15:00:00Z,2026-01-04T14:59:00Z,2026-01-06T15:00:00Z,4.0,9.3
2026-01-05T15:00:00Z,2026-01-05T14:59:00Z,2026-01-07T15:00:00Z,5.0,10.9
2026-01-06T15:00:00Z,2026-01-06T14:59:00Z,2026-01-08T15:00:00Z,6.0,13.2
2026-01-07T15:00:00Z,2026-01-07T14:59:00Z,2026-01-09T15:00:00Z,7.0,14.8
2026-01-08T15:00:00Z,2026-01-08T14:59:00Z,2026-01-10T15:00:00Z,8.0,17.3
2026-01-09T15:00:00Z,2026-01-09T14:59:00Z,2026-01-11T15:00:00Z,9.0,18.9
2026-01-10T15:00:00Z,2026-01-10T14:59:00Z,2026-01-12T15:00:00Z,10.0,21.2
