model_id,instrument_id,contract_id,decision_time,signal_available_at,label_start,label_end,label_available_at,signal,forward_return
ES-model,ES,ES-2026-03,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,2026-01-02T00:00:00Z,0,0
ES-model,ES,ES-2026-03,2026-01-02T00:00:00Z,2026-01-02T00:00:00Z,2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,2026-01-03T00:00:00Z,1,0.001
ES-model,ES,ES-2026-03,2026-01-03T00:00:00Z,2026-01-03T00:00:00Z,2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,2026-01-04T00:00:00Z,2,0.002
ES-model,ES,ES-2026-03,2026-01-04T00:00:00Z,2026-01-04T00:00:00Z,2026-01-04T00:00:00Z,2026-01-05T00:00:00Z,2026-01-05T00:00:00Z,3,0.003
ES-model,ES,ES-2026-03,2026-01-05T00:00:00Z,2026-01-05T00:00:00Z,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,2026-01-06T00:00:00Z,4,0.004
ES-model,ES,ES-2026-03,2026-01-06T00:00:00Z,2026-01-06T00:00:00Z,2026-01-06T00:00:00Z,2026-01-07T00:00:00Z,2026-01-07T00:00:00Z,5,0.005
ES-model,ES,ES-2026-03,2026-01-07T00:00:00Z,2026-01-07T00:00:00Z,2026-01-07T00:00:00Z,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,6,0.006
ES-model,ES,ES-2026-03,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,2026-01-09T00:00:00Z,2026-01-09T00:00:00Z,7,0.007
ES-model,ES,ES-2026-03,2026-01-09T00:00:00Z,2026-01-09T00:00:00Z,2026-01-09T00:00:00Z,2026-01-10T00:00:00Z,2026-01-10T00:00:00Z,8,0.008
ES-model,ES,ES-2026-03,2026-01-10T00:00:00Z,2026-01-10T00:00:00Z,2026-01-10T00:00:00Z,2026-01-11T00:00:00Z,2026-01-11T00:00:00Z,9,0.009
