model_id,instrument_id,contract_id,decision_time,signal_available_at,label_start,label_end,label_available_at,signal,forward_return
ES-model,ES,2026-03,2026-01-05T14:00:00Z,2026-01-05T13:59:00Z,2026-01-05T15:00:00Z,2026-01-06T15:00:00Z,2026-01-06T16:00:00Z,-2,-0.02
ES-model,ES,2026-03,2026-01-06T14:00:00Z,2026-01-06T13:59:00Z,2026-01-06T15:00:00Z,2026-01-07T15:00:00Z,2026-01-07T16:00:00Z,-1,-0.005
ES-model,ES,2026-03,2026-01-07T14:00:00Z,2026-01-07T13:59:00Z,2026-01-07T15:00:00Z,2026-01-08T15:00:00Z,2026-01-08T16:00:00Z,0,0.003
ES-model,ES,2026-03,2026-01-08T14:00:00Z,2026-01-08T13:59:00Z,2026-01-08T15:00:00Z,2026-01-09T15:00:00Z,2026-01-09T16:00:00Z,1,0.012
ES-model,ES,2026-03,2026-01-09T14:00:00Z,2026-01-09T13:59:00Z,2026-01-09T15:00:00Z,2026-01-10T15:00:00Z,2026-01-10T16:00:00Z,2,0.017
NQ-model,NQ,2026-03,2026-01-05T14:00:00Z,2026-01-05T13:59:00Z,2026-01-05T15:00:00Z,2026-01-06T15:00:00Z,2026-01-06T16:00:00Z,-2,0.01
NQ-model,NQ,2026-03,2026-01-06T14:00:00Z,2026-01-06T13:59:00Z,2026-01-06T15:00:00Z,2026-01-07T15:00:00Z,2026-01-07T16:00:00Z,-1,-0.004
NQ-model,NQ,2026-03,2026-01-07T14:00:00Z,2026-01-07T13:59:00Z,2026-01-07T15:00:00Z,2026-01-08T15:00:00Z,2026-01-08T16:00:00Z,0,0.002
NQ-model,NQ,2026-03,2026-01-08T14:00:00Z,2026-01-08T13:59:00Z,2026-01-08T15:00:00Z,2026-01-09T15:00:00Z,2026-01-09T16:00:00Z,1,-0.015
NQ-model,NQ,2026-03,2026-01-09T14:00:00Z,2026-01-09T13:59:00Z,2026-01-09T15:00:00Z,2026-01-10T15:00:00Z,2026-01-10T16:00:00Z,2,0.006
