model_id,instrument_id,contract_id,decision_time,signal_available_at,label_start,label_end,label_available_at,signal,forward_return
ES-model,ES,ES-synthetic,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,2025-01-02T00:00:00Z,2025-01-02T00:00:00Z,-0.28542611513137345,0.013138720295727097
ES-model,ES,ES-synthetic,2025-01-02T00:00:00Z,2025-01-02T00:00:00Z,2025-01-02T00:00:00Z,2025-01-03T00:00:00Z,2025-01-03T00:00:00Z,0.9058321032181718,0.002757836455690786
ES-model,ES,ES-synthetic,2025-01-03T00:00:00Z,2025-01-03T00:00:00Z,2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,2025-01-04T00:00:00Z,1.0801332517885294,-0.011219578151235308
ES-model,ES,ES-synthetic,2025-01-04T00:00:00Z,2025-01-04T00:00:00Z,2025-01-04T00:00:00Z,2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,0.4099238380347718,-0.021494385985604797
ES-model,ES,ES-synthetic,2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,2025-01-06T00:00:00Z,2025-01-06T00:00:00Z,-0.3109341216594305,-0.011910561187728503
ES-model,ES,ES-synthetic,2025-01-06T00:00:00Z,2025-01-06T00:00:00Z,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,2025-01-07T00:00:00Z,0.20290968627028166,0.002359275840969375
ES-model,ES,ES-synthetic,2025-01-07T00:00:00Z,2025-01-07T00:00:00Z,2025-01-07T00:00:00Z,2025-01-08T00:00:00Z,2025-01-08T00:00:00Z,-0.6764218530067128,0.009574725619532706
ES-model,ES,ES-synthetic,2025-01-08T00:00:00Z,2025-01-08T00:00:00Z,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,2025-01-09T00:00:00Z,-0.2737003226454054,-0.0019948605309567224
ES-model,ES,ES-synthetic,2025-01-09T00:00:00Z,2025-01-09T00:00:00Z,2025-01-09T00:00:00Z,2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,1.04776257587659,-0.006401856118476224
ES-model,ES,ES-synthetic,2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,2025-01-11T00:00:00Z,2025-01-11T00:00:00Z,0.47742943999055376,0.009122452214696763
